Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
119,0,491.448,-0.4325065,-0.7295417,-0.3820612,65.35921,-179.4774,-88.74272,93.70103,0.7399282,-0.9598116,0.7399282,0.508604,0.9322205,0.01242065,0.9481196,1.77233,1.428481,0,
120,0,491.474,-0.4343124,-0.7217214,-0.3951527,65.4399,-179.4412,-88.7618,93.67796,0.7535542,-0.9655032,0.7535542,0.530449,0.9631042,0.05062866,0.9466738,1.780262,1.42985,0.03426402,
121,0,491.497,-0.4316007,-0.711894,-0.4059006,65.52721,-179.5078,-88.77961,93.65754,0.7592455,-0.9610341,0.7592455,0.5370479,0.9847107,0.081604,0.9458466,1.786517,1.428344,0.05233916,
122,0,491.522,-0.4316007,-0.6988559,-0.4121198,65.65429,-179.728,-88.80305,93.6452,0.7755645,-0.9454328,0.7755645,0.5374122,1.014526,0.1116638,0.9433607,1.786517,1.425601,0.06852804,
123,0,491.547,-0.4334104,-0.6852845,-0.414487,66.36522,179.9515,-88.84464,93.63012,0.7895671,-0.9304113,0.7895671,0.5446455,1.062653,0.1327209,0.9435682,1.789254,1.425738,0.08622923,
124,0,491.572,-0.4370072,-0.6760855,-0.4224361,66.50993,179.6655,-88.87406,93.62161,0.7932757,-0.9196228,0.7932757,0.5510744,1.123627,0.1474609,0.9439828,1.827242,1.423953,0.1008706,
125,0,491.597,-0.4419051,-0.6629335,-0.4436728,67.05904,179.5298,-88.91385,93.58858,0.7957386,-0.9037398,0.7957386,0.5623221,1.164246,0.1598816,0.9429458,1.868336,1.420375,0.1083524,
126,0,491.624,-0.4454334,-0.6537194,-0.466462,67.51789,179.4604,-88.94809,93.56547,0.8035691,-0.8906538,0.8035691,0.563365,1.194733,0.162262,0.9462603,1.858148,1.409727,0.1101434,
127,0,491.647,-0.4458725,-0.6495153,-0.4897892,67.9075,179.9209,-88.97404,93.54355,0.806971,-0.8771496,0.806971,0.5435666,1.216095,0.1303711,0.9495632,1.850866,1.401792,0.1083524,
128,0,491.669,-0.4458725,-0.6422443,-0.5105241,68.22797,-179.6804,-89.00533,93.52193,0.8074558,-0.8595729,0.8074558,0.5256317,1.231018,0.09124756,0.9540861,1.846102,1.394374,0.1065312,
129,0,491.694,-0.4480613,-0.6305605,-0.5241405,68.6226,-179.388,-89.02943,93.50885,0.8098756,-0.8409316,0.8098756,0.5151029,1.241486,0.05337524,0.9642863,1.85899,1.389171,0.1027921,
130,0,491.719,-0.4329587,-0.6100564,-0.5661368,69.5651,-178.3596,-89.06749,93.47511,0.7952467,-0.8170919,0.7952467,0.501241,1.24881,0.02896118,0.9705567,1.871371,1.387621,0.1008706,
131,0,491.744,-0.4224361,-0.5851721,-0.5974163,71.05775,-178.077,-89.11277,93.45498,0.7808449,-0.7900625,0.7808449,0.4957456,1.249756,0.02236938,0.9841712,1.840369,1.392548,0.09487279,
132,0,491.767,-0.4149588,-0.5675176,-0.6177064,71.82298,-177.7113,-89.14709,93.44308,0.7710097,-0.7732905,0.7710097,0.4917827,1.242004,0.04293823,0.9997552,1.815746,1.406252,0.09065409,
133,0,491.794,-0.403483,-0.5535544,-0.6211812,72.39826,-177.5631,-89.17329,93.4284,0.7597608,-0.7597608,0.7597608,0.4784724,1.22818,0.06781006,1.0093,1.790566,1.42189,0.09278741,
134,0,491.819,-0.3911712,-0.5374122,-0.6129363,73.15195,-177.6939,-89.21522,93.42628,0.7519946,-0.7436213,0.7519946,0.463094,1.218536,0.09362793,1.015871,1.751671,1.436949,0.09691329,
135,0,491.844,-0.3758652,-0.5218958,-0.6006827,73.73819,-177.941,-89.24248,93.41843,0.7399282,-0.7238871,0.7399282,0.4265846,1.211761,0.1221924,1.016833,1.711665,1.445097,0.09278741,
136,0,491.867,-0.365305,-0.5112901,-0.5934729,74.15047,-178.1897,-89.2659,93.4129,0.7380747,-0.7060983,0.7380747,0.393167,1.211212,0.148468,1.016833,1.697313,1.450639,0.08846933,
137,0,491.895,-0.3577275,-0.5035778,-0.5891711,74.58403,-178.5374,-89.29507,93.42994,0.7370135,-0.6892704,0.7370135,0.365305,1.24231,0.1752625,1.012977,1.680162,1.465002,0.08392937,
138,0,491.919,-0.3505445,-0.4985009,-0.5911604,74.46823,-178.8428,-89.30965,93.43973,0.7327532,-0.6734757,0.7327532,0.3374619,1.301849,0.2002869,1.009106,1.669178,1.485958,0.07401875,
139,0,491.944,-0.3432113,-0.4945601,-0.5941319,74.495,-179.23,-89.32398,93.45274,0.7222635,-0.6623429,0.7222635,0.3051875,1.370819,0.2409363,1.005221,1.699733,1.510902,0.07661668,
140,0,491.967,-0.3386196,-0.4921804,-0.6039315,74.49247,-179.5818,-89.33409,93.49311,0.7124436,-0.6546168,0.7124436,0.2811602,1.42746,0.2756653,1.002882,1.720332,1.538751,0.07912937,
141,0,491.994,-0.3310224,-0.4945601,-0.6214961,74.48726,179.9011,-89.341,93.52971,0.7016503,-0.6531205,0.7016503,0.2533378,1.475525,0.3041382,0.9962258,1.707544,1.564355,0.08622923,
142,0,492.019,-0.3256589,-0.5000685,-0.6422443,73.96548,179.427,-89.33124,93.57622,0.6943616,-0.6546168,0.6943616,0.2315465,1.511261,0.3240967,0.9849661,1.677948,1.58239,0.08846933,
143,0,492.044,-0.3202056,-0.5043544,-0.6647022,73.33215,179.1211,-89.3139,93.60669,0.6849989,-0.6552143,0.6849989,0.2185032,1.546753,0.3401794,0.9721684,1.709148,1.594709,0.09065409,
